"Business Objects for: "	Lead and Opportunity Management
"UML Type"	"Business Object"	"Supertype"	"Attribute"	"Description"	"Data Type"
Class	TransactionScheduleService	Service	""	"An exposed function (an externalized functionality) that is able to deliver a certain value/benefit (a proposed definition adapted from Archimate).. . A unit of functionality that a system exposes to its environment, while hiding internal operations, which provides a certain value (monetary or otherwise). . . . Comment:. . A Service is something that is done by an actor for the benefit of an actor in the environment.. . A system is the broad sense of the word. Means Business Service, Application Service, Technology Service, "huppeldepup" Service.  . . . Characteristics of a service:. . A system (The Service Domain). Functionality is exposed (Action Term). It provides a certain value (monetary or otherwise) . . . Exposing functionality means that the internals of realizing the service is hidden for the beneficiary of the Service..  . . . In BIAN a "Service Operation" is visualized as a "Business Service" , the "System" refers to the  "Service Domain"  . . The name of a Service Operation is composed of an "Action Term" + "Subject Matter" which is the "Control Record" or the "Behaviour Qualifier".. . . Service is the intangible equivalent of a good. (ISO20022). . . A type of economic activity that is intangible, is not stored and does not result in ownership; a service is consumed at the point of sale (FIBO & Business Dictionary)"	""
Class	Transaction	""	""	"A planned or performed action in the context of concluding or fulfilling an agreement. . . Act to do something."	""
Attribute	Transaction	""	TransactionIdentification	"An identifier that allows to uniquely refer to an instance of a transaction."	Identifier
Attribute	Transaction	""	TransactionDate	"The Date that the transaction has occurred or is planned to occur.. A characteristic of transaction which refers to the LifecycleDate of transaction (e.g., initiated date, executed date, fulfillment date). "	TransactionDate
Attribute	Transaction	""	TransactionType	"Specifies the category of Transaction like payment transaction, accounting transaction, financial Transaction, banking transaction, etc. "	TransactionType
Attribute	Transaction	""	TransactionDescription	"A detailed explanation or commentary of transaction."	Text
Attribute	Transaction	""	TransactionStatus	"A characteristic of transaction which refers to the LifecycleStatus of transaction (e.g., initiated, executed, confirmed, cancelled, etc.) "	TransactionLifecycleStatus
Attribute	Transaction	""	TransactionName	"The name of transaction."	Name
Class	Transaction	Action	""	"An event related to the behaviour performed by an actor. . . Comment:. An actor can be a party or a machine. An action Includes various types of requests, orders and financial transactions. Includes responses where appropriate.. An action is an event which means that the concept describes the result of acting."	""
Class	TransactionScheduleArrangement	""	""	"An arrangement (ServiceArrangement) which is promised to deliver the TransactionScheduleService"	""
Attribute	TransactionScheduleArrangement	""	ApplicableServiceFeeType	""	String
Attribute	TransactionScheduleArrangement	""	ApplicableServiceFeeAmount	""	String
Attribute	TransactionScheduleArrangement	""	ServiceArrangementDateTime	""	String
Class	TransactionScheduleArrangement	ServiceArrangement	""	"An arrangement into which is promised to deliver a specific service.. . Comment: Most service arrangements are instantiations of Product Services"	""
Class	BankingProduct	""	""	"A package of services and goods, accompanied by term and condition which is offered as a whole to (internal or external) customers."	""
Attribute	BankingProduct	""	ProductIdentification	"The identifier of product e.g. ISIN Code."	ProductIdentification
Attribute	BankingProduct	""	ProductType	"Specifies the category/type/class of product like financial product. Product can be categorized according to different perspectives.  "	BankingProductType
Attribute	BankingProduct	""	ProductLifecycleStatus	"Refers to the lifecycle of a product (e.g., initiated, announced, active, obsolete, withdrawn)."	ProductLifecycleStatus
Attribute	BankingProduct	""	ProductPriority	""	String
Attribute	BankingProduct	""	ProductDescription	"A detailed explanation or commentary of product."	String
Attribute	BankingProduct	""	ProductVersion	""	String
Class	BankingProduct	FinancialInstrument	""	"A contract that gives rise to a financial asset of one entity and a financial liability or equity instrument of another entity. (IFRS). https://www.iasplus.com/en/standards/ias/ias32#:~:text=Key%20definitions%20%5BIAS%2032.11%5D,equity%20instrument%20of%20another%20entity. . Financial instruments are financial contracts of different nature made between institutional units. These comprise the full range of financial claims and liabilities between institutional units, including contingent liabilities like guarantees, commitments, etc. (ISO 10962). "	""
Class	TransactionScheduleArrangementFulfillmentEvent	""	""	"The fulfilment of TransactionScheduleArrangement"	""
Attribute	TransactionScheduleArrangementFulfillmentEvent	""	AppliedServiceFeeType	"The fee type applied"	String
Attribute	TransactionScheduleArrangementFulfillmentEvent	""	AppliedServiceFeeAmount	"The derived fee amount to be charged"	String
Attribute	TransactionScheduleArrangementFulfillmentEvent	""	AppliedServiceFeeDescription	"General description of the fee"	String
Class	Arrangement	""	""	"An agreed commitment to perform actions that meet obligations under an agreement"	""
Attribute	Arrangement	""	ActionType	""	ActionType
Attribute	Arrangement	""	ArrangementStartDate	""	DateTime
Attribute	Arrangement	""	ArrangementEndDate	""	DateTime
Attribute	Arrangement	""	ArrangementStatus	"A characteristic of arrangement which refers to the LifecycleStatus of arrangement (e.g., requested, proposed, offered, accepted, cancelled, terminated, fulfilled, etc.)"	ArrangementLifecycleStatus
Class	Service	""	""	"An exposed function (an externalized functionality) that is able to deliver a certain value/benefit (a proposed definition adapted from Archimate).. . A unit of functionality that a system exposes to its environment, while hiding internal operations, which provides a certain value (monetary or otherwise). . . . Comment:. . A Service is something that is done by an actor for the benefit of an actor in the environment.. . A system is the broad sense of the word. Means Business Service, Application Service, Technology Service, "huppeldepup" Service.  . . . Characteristics of a service:. . A system (The Service Domain). Functionality is exposed (Action Term). It provides a certain value (monetary or otherwise) . . . Exposing functionality means that the internals of realizing the service is hidden for the beneficiary of the Service..  . . . In BIAN a "Service Operation" is visualized as a "Business Service" , the "System" refers to the  "Service Domain"  . . The name of a Service Operation is composed of an "Action Term" + "Subject Matter" which is the "Control Record" or the "Behaviour Qualifier".. . . Service is the intangible equivalent of a good. (ISO20022). . . A type of economic activity that is intangible, is not stored and does not result in ownership; a service is consumed at the point of sale (FIBO & Business Dictionary)"	""
Attribute	Service	""	ServiceName	""	Name
Attribute	Service	""	ServiceDescription	""	Text
Attribute	Service	""	ServiceType	""	ServiceType
Class	Service	Feature	""	"a distinctive attribute or aspect of something."	""
Class	BankingProduct	""	""	"A package of services and goods, accompanied by term and condition which is offered as a whole to (internal or external) customers."	""
Attribute	BankingProduct	""	ProductIdentification	"The identifier of product e.g. ISIN Code."	ProductIdentification
Attribute	BankingProduct	""	ProductType	"Specifies the category/type/class of product like financial product. Product can be categorized according to different perspectives.  "	BankingProductType
Attribute	BankingProduct	""	ProductLifecycleStatus	"Refers to the lifecycle of a product (e.g., initiated, announced, active, obsolete, withdrawn)."	ProductLifecycleStatus
Attribute	BankingProduct	""	ProductPriority	""	String
Attribute	BankingProduct	""	ProductDescription	"A detailed explanation or commentary of product."	String
Attribute	BankingProduct	""	ProductVersion	""	String
Class	BankingProduct	FinancialInstrument	""	"A contract that gives rise to a financial asset of one entity and a financial liability or equity instrument of another entity. (IFRS). https://www.iasplus.com/en/standards/ias/ias32#:~:text=Key%20definitions%20%5BIAS%2032.11%5D,equity%20instrument%20of%20another%20entity. . Financial instruments are financial contracts of different nature made between institutional units. These comprise the full range of financial claims and liabilities between institutional units, including contingent liabilities like guarantees, commitments, etc. (ISO 10962). "	""
Class	Agreement	""	""	"A formal or informal common understanding between two or more (legal competent) parties concerning one or more subject matters expressed in a set of arrangements, terms and conditions. (adapted from Legal System and FIBO) "	""
Attribute	Agreement	""	AgreementSignedDate	"Date on which the agreement was signed by all parties. (ISO20022)"	Date
Attribute	Agreement	""	AgreementType	"Specifies the category of agreement. Agreement type is very often referred to product. But, the term product does not cover all kinds of agreements. An Agreement can be subtyped from the perspective of various aspects of interest. One can classify the agreement from the perspective of format type (e.g., verbal agreement, written agreement). Other one can classify agreement based on duration like short-term agreement or long-term agreement."	AgreementType
Attribute	Agreement	""	AgreementValidityPeriod	"Period during which the agreement is valid. "	DateTimePeriod
Attribute	Agreement	""	AgreementVersion	""	String
Attribute	Agreement	""	AgreementStatus	"A characteristic of agreement which refers to the LifecycleStatus of agreement (e.g., potential, offered, confirmed, completed, signed, terminated)."	AgreementLifecycleStatus
Attribute	Agreement	""	AgreementSubjectMatter	""	String
Attribute	Agreement	""	AgreementIdentification	"The identifier of agreement like Agreement Number, Contract Number, Contract Registration Number, etc. "	Identifier
Attribute	Agreement	""	AgreementDate	"A characteristic of agreement which refers to 1) LifecycleDate of agreement (e.g., SignedDate, TerminatedDate, FulfilledDate) OR 2) ArrangedDate of agreement (e.g., StartingDate, EndingDate, ValidityPeriod, EffectiveDate)."	DateTime
Class	Account	""	""	"A measuring state on which movements in value or amounts of assets, rights and obligations are registered.. . Comment: . It is a bookkeeping instrument holding the amount or value of something by registering the movements in plus and min when events happen which have an impact on the position.. The term "account" is usually associated to an accounting or bookkeeping concept to hold the financial or stock state of a business concept. An account will typically group the debit and credit entries for a specific aspect of the business resulting from transactions,. Often accounts are represented as a T-account which is a visual aid used to depict an account. Above the top portion of the T would be the account title. On the left-side of the base of the T would be any debit amounts; on the right-side would be the credit amounts.. A commonly used bookkeeping method is the double-entry method. This means that every transaction has at least 2 movements. If a customer pays 100 € in cash, there is. a decrease in the amount that the customer owes to the company (the customer position is decreased). an increase in the amount that the company has in cash (the cash position is increased). . An account can be assigning to one or more ledgers. A ledger is a group of accounts for a certain purpose. If there is need for multiple ledgers because of multiple purpose, an account can perfectly well assigned to multiple ledgers. When Ledgers are in real physical books, this is not possible. When ledgers are digital, accounts can be grouped into multiple groups at the same time. This practice is very rarely taught into courses for accounting, but in digital accounting, it is common practice.. . Examples: . stock account of a shop, cash register, bank account, financial accounting account, customer account, supplier account, .... Bank Account BE12 1234 5678 9012: is an individual banking account. Accounts Payable, is a collective account keeping the balance of the amounts to pay by the organisation to its suppliers. The balance is the result of the financial movements related to suppliers. This account is managed usually in a General Ledger . Supplier Account X, is an individual account keeping the balance of the amounts to pay by the organisation to an individual supplier. The balance is the result of the financial movements related to an individual supplier. This account is managed usually in a sub-ledger.. Stock Account x, is an individual account keeping the balance of the amounts in stock of a specific good.. A payment service to take fund out of an account. "	""
Attribute	Account	""	AccountStatus	"A characteristic of account which refers to the LifecycleStatus of account like opened, closed, blocked, etc."	String
Attribute	Account	""	AccountIdentification	"The identifier of account like Account Number."	AccountIdentification
Attribute	Account	""	AccountDate	"A characteristic of account which refers to LifecycleDate of account (e.g., ClosingDate, OpeningDate, LiveDate, etc.) "	AccountDate
Attribute	Account	""	AccountType	"Specifies the category of account like payment account, loan account, cash account, securities account, etc. "	AccountType
Attribute	Account	""	AccountPurpose	""	Text
Attribute	Account	""	AccountBalance	"The state of the obligations managed on the account, the result of all entries on the account.. . Numerical representation of the net increases and decreases in an account at a specific point in time. (ISO20022). . Banking: Amount available in an account for withdrawal or use.. Read more: http://www.businessdictionary.com/definition/balance.html. . Bookkeeping: Difference between the debit and credit sides of an account.. Read more: http://www.businessdictionary.com/definition/balance.html"	AccountBalance
Attribute	Account	""	AccountCurrency	""	AccountCurrency
Attribute	Account	""	AccountDescription	"A detailed explanation or commentary of account. . "	Text
Class	Account	Log	""	"A record of events/entries.. "	""
Class	SweepArrangement	""	""	"Arrangement in which funds are transferred from one deposit account to another when a certain threshold is reached. . . Banking arrangement in which a checking (current) account balance above or below a certain amount is automatically transferred to and from an interest-bearing (savings or money market fund) account. The objective of a sweep account is to maximize the accountholder's interest earnings while covering all withdrawals. (Business Dictionary). . Sweep Account is a brokerage account whose cash balance is automatically transferred into an interest-bearing investment, such as a money market fund. (Investorwords). "	""
Attribute	SweepArrangement	""	SweepType	"The type of sweep (e.g. periodic, threshold)."	String
Attribute	SweepArrangement	""	SweepModalitites	"The way sweep transactions will be triggered and executed (on the "from side) or what the reaction should be (on the receive side). . e.g. buy securities when a sweep of the "petty cash" type is received on a securities account from a current account"	String
Attribute	SweepArrangement	""	SweepCounterAccountReference	"Reference to the account the funds are transferred to or from"	String
Attribute	SweepArrangement	""	SweepSchedule	"Timing and or triggers for initiating sweep transaction; "	String
Attribute	SweepArrangement	""	SweepMandate	"Permission to define a sweep arrangement to the target account.  "	String
Attribute	SweepArrangement	""	SweepDirection	"Indication whether the savings account is source or target of the sweep arrangement"	String
Class	SweepArrangement	SavingsAccountArrangement	""	"An arrangement defining the applicable features for a savings account agreement. . . The arrangement type is one of those possible/mandatory for the sale of a savings account product. The actual arrangements are a selection of those offered under the savings account product. "	""
Class	SweepArrangement	TermDepositArrangement	""	"An arrangement defining the applicable features for a Corporate Deposit Agreement. . . "	""
Class	SweepArrangement	LoanArrangement	""	"An arrangement defining the applicable features for a loan account agreement. . "	""
Class	SweepArrangement	Arrangement	""	"An agreed commitment to perform actions that meet obligations under an agreement"	""
Class	DepositServiceArrangement	""	""	"An service arrangement which specifies the acceptance of deposits, accompanied by the modalities to deposit money. . . . An arrangement in which a lender gives money or property to a borrower, and the borrower agrees to return the property or repay the money, usually along with interest, at some future point(s) in time. (ISO20022). "	""
Attribute	DepositServiceArrangement	""	DepositType	"Type of an arranged deposit. . . The type of deposit transaction that can be applied to the account (e.g. customer deposit, internal credit, funding, ...)"	String
Attribute	DepositServiceArrangement	""	DepositLimit	"A limit imposed to the facility to deposit funds. . e.g. minimum deposit of 500€, maximum of 5000 per year, maximum balance of 500 000€This is the actual "value" that has to be used in "the algorithm depicted by the "type". "	String
Attribute	DepositServiceArrangement	""	DepositLimitType	"Type of limit imposed on a deposit facility. . e.g. maximum amount per deposit or per periodThis is "the algorithm""	String
Class	DepositServiceArrangement	SavingsAccountArrangement	""	"An arrangement defining the applicable features for a savings account agreement. . . The arrangement type is one of those possible/mandatory for the sale of a savings account product. The actual arrangements are a selection of those offered under the savings account product. "	""
Class	DepositServiceArrangement	NonCashServiceArrangement	""	"ServiceArrangement defined for non-cash financial instruments like SecuritiesDepositArrangement, ..."	""
Class	DepositServiceArrangement	TermDepositArrangement	""	"An arrangement defining the applicable features for a Corporate Deposit Agreement. . . "	""
Class	DepositServiceArrangement	LoanArrangement	""	"An arrangement defining the applicable features for a loan account agreement. . "	""
Class	DepositServiceArrangement	ServiceArrangement	""	"An arrangement into which is promised to deliver a specific service.. . Comment: Most service arrangements are instantiations of Product Services"	""
Class	DepositServiceArrangement	TermDepositAccountArrangement	""	""	""
Class	LienArrangement	""	""	"An arrangement for placing a lien against the account. . An arrangement that grants a creditor the right to use an asset as a guarantee for an underlying obligation. . . A lien is a legal right granted by the owner of property, by a law or otherwise acquired by a creditor. A lien serves to guarantee an underlying obligation, such as the repayment of a loan. If the underlying obligation is not satisfied, the creditor may be able to seize the asset that is the subject of the lien. (Investopedia). . A lien is a legal document filed by a creditor (lender) in order to record its claim on the debtor's (borrower's) property. The lien is recorded at a government's office. The lien provides a creditor with some protection or collateral until the debtor pays the creditor the amount owed. (Accounting Coach). . A legal claim against an asset which is used to secure a loan and which must be paid when the property is sold. Liens can be structured in many different ways. In some cases, the creditor will have legal claim against an asset, but not actually hold it in possession, while in other cases the creditor will actually hold on to the asset until the debt is paid off. The former is a more common arrangement when the asset is productive, since the creditor would prefer that the asset be used to produce a stream of income to pay off debt rather than just held in possession and not used. A claim can hold against an asset until all the obligations to the creditor are cleared (a general lien), or just until the obligations against that particular assets are cleared (a particular lien). (Investorword). . Difference between Lien and Collateral? The Lien is the agreement, the Collateral is the asset. So, a collateral agreement and a lien are synonyms. see also https://efinancemanagement.com/sources-of-finance/pledge-vs-hypothecation-vs-lien-vs-mortgage-vs-assignment. "	""
Attribute	LienArrangement	""	LienType	"The type of Lien "	String
Attribute	LienArrangement	""	LienPurposeReference	"The reason why the lien is taken.. . Should refer to another agreements arrangement whose obligations are guaranteed by the lien"	String
Attribute	LienArrangement	""	LienAmount	"The amount agreed to be blocked. "	String
Attribute	LienArrangement	""	LienStartDate	"The date agreed to enforce the lien "	String
Attribute	LienArrangement	""	LienExpiryDate	"The date agreed to remove the lien"	String
Attribute	LienArrangement	""	LienStatus	"The status on the lien. "	String
Attribute	LienArrangement	""	LienSubjectReference	"Reference to the subject the lean is placed upon. . e.g. the savings account the lien is placed upon"	String
Class	LienArrangement	LoanArrangement	""	"An arrangement defining the applicable features for a loan account agreement. . "	""
Class	LienArrangement	Arrangement	""	"An agreed commitment to perform actions that meet obligations under an agreement"	""
Class	WithdrawalServiceArrangement	""	""	"An service arrangement which specifies the acceptance of withdrawals, accompanied by the modalities to withdraw money. . "	""
Attribute	WithdrawalServiceArrangement	""	WithdrawalType	"The type of withdrawal transaction that can be applied to the account (e.g. customer withdrawal, internal service charge, disbursement)"	
Attribute	WithdrawalServiceArrangement	""	WithdrawalLimit	""	
Attribute	WithdrawalServiceArrangement	""	WithdrawalLimitType	""	
Attribute	WithdrawalServiceArrangement	""	WithdrawalLimitHandling	"Handling options in case a withdrawal results in exceeding the agreed limit"	
Class	WithdrawalServiceArrangement	SavingsAccountArrangement	""	"An arrangement defining the applicable features for a savings account agreement. . . The arrangement type is one of those possible/mandatory for the sale of a savings account product. The actual arrangements are a selection of those offered under the savings account product. "	""
Class	WithdrawalServiceArrangement	LoanArrangement	""	"An arrangement defining the applicable features for a loan account agreement. . "	""
Class	WithdrawalServiceArrangement	NonCashServiceArrangement	""	"ServiceArrangement defined for non-cash financial instruments like SecuritiesDepositArrangement, ..."	""
Class	WithdrawalServiceArrangement	ServiceArrangement	""	"An arrangement into which is promised to deliver a specific service.. . Comment: Most service arrangements are instantiations of Product Services"	""
Class	WithdrawalServiceArrangement	TermDepositArrangement	""	"An arrangement defining the applicable features for a Corporate Deposit Agreement. . . "	""
Class	InterestArrangement	""	""	"An arrangement into which both parties confirm on an interest product feature. "	""
Attribute	InterestArrangement	""	InterestType	"Type of an arranged Interest"	String
Attribute	InterestArrangement	""	InterestRate	"An arranged InterestRate. . . "	Rate
Attribute	InterestArrangement	""	InterestDefinition	""	String
Attribute	InterestArrangement	""	InterestRateType	"Type of Rate which is arranged to apply interest"	InterestRateTypeValues
Attribute	InterestArrangement	""	InterestPeriod	"Period during which the interest rate has to be applied. "	String
Attribute	InterestArrangement	""	InterestRatePlan	"An arranged InterestRatePlan"	RatePlan
Attribute	InterestArrangement	""	InterestSchedule	"An interest schedule is an arranged/planned set of dates at which interest will be claimed.. . - The set can be represented on a calendar, a formula, a table, etc."	String
Class	InterestArrangement	ProductSalesArrangement	""	"Arrangement whitin the product sales agreement"	""
Class	InterestArrangement	LoanArrangement	""	"An arrangement defining the applicable features for a loan account agreement. . "	""
Class	InterestArrangement	SavingsAccountArrangement	""	"An arrangement defining the applicable features for a savings account agreement. . . The arrangement type is one of those possible/mandatory for the sale of a savings account product. The actual arrangements are a selection of those offered under the savings account product. "	""
Class	InterestArrangement	TermDepositAccountArrangement	""	""	""
Class	InterestArrangement	TermDepositArrangement	""	"An arrangement defining the applicable features for a Corporate Deposit Agreement. . . "	""
Class	InterestArrangement	Arrangement	""	"An agreed commitment to perform actions that meet obligations under an agreement"	""
Class	InterestArrangement	CardPaymentArrangement	""	"An agreement established among the card holder and the card issuer to use the payment card for payment"	""
Class	InterestCalculationArrangementModality	""	""	"InterestModality to calculate the interest. . "	""
Attribute	InterestCalculationArrangementModality	""	InterestCalculationMethod	"A method has to be used for calculating the interest"	InterestCalculationMethodTypeValues
Attribute	InterestCalculationArrangementModality	""	InterestCalculationFrequency	"The periodicity of the calculation of the interest. (ISO20022). "	String
Attribute	InterestCalculationArrangementModality	""	InterestCalculationDate	"The calculation date of the interest amount. (ISO20022)"	DateTime
Attribute	InterestCalculationArrangementModality	""	InterestCalculationParameter	"A parameter used to calculate the interest. "	String
Attribute	InterestCalculationArrangementModality	""	InterestCalculationMethodType	"Specifies whether the interest calculation method is simple or compounding. (ISO20022). . Simple: Calculation method by which interest is calculated on the original principal only. Accumulated interest from prior periods is not used in calculations for the following periods. (ISO20022). . Compounding: Calculation method by which interest is calculated each period on the original principal and all interest accumulated during past periods. (ISO20022)"	InterestCalculationMethodTypeValues
Class	InterestCalculationArrangementModality	InterestArrangementModality	""	"A selection of interest product feature modalities for a specific interest arrangement in a specific agreemen"	""
