"Business Objects for: "	Credit Facility
"UML Type"	"Business Object"	"Supertype"	"Attribute"	"Description"	"Data Type"
Class	FeeArrangement	SavingsAccountArrangement	" "	"An arrangement defining the applicable features for a savings account agreement. . . The arrangement type is one of those possible/mandatory for the sale of a savings account product. The actual arrangements are a selection of those offered under the savings account product. "	" "
Class	FeeArrangement	ProductSalesArrangement	" "	"Arrangement whitin the product sales agreement"	" "
Class	FeeArrangement	CashServiceArrangement	" "	"ServiceArrangement defined for cash financial instruments like FeeArrangement, DepositArrangement, ..."	" "
Class	FeeArrangement	TermDepositArrangement	" "	"An arrangement defining the applicable features for a Corporate Deposit Agreement. . . "	" "
Class	FeeArrangement	CardPaymentArrangement	" "	"An agreement established among the card holder and the card issuer to use the payment card for payment"	" "
Class	InterestCalculationArrangementModality	" "	" "	"InterestModality to calculate the interest. . "	" "
Attribute	InterestCalculationArrangementModality	" "	InterestCalculationMethod	"A method has to be used for calculating the interest"	InterestCalculationMethodTypeValues
Attribute	InterestCalculationArrangementModality	" "	InterestCalculationFrequency	"The periodicity of the calculation of the interest. (ISO20022). "	String
Attribute	InterestCalculationArrangementModality	" "	InterestCalculationDate	"The calculation date of the interest amount. (ISO20022)"	DateTime
Attribute	InterestCalculationArrangementModality	" "	InterestCalculationParameter	"A parameter used to calculate the interest. "	String
Attribute	InterestCalculationArrangementModality	" "	InterestCalculationMethodType	"Specifies whether the interest calculation method is simple or compounding. (ISO20022). . Simple: Calculation method by which interest is calculated on the original principal only. Accumulated interest from prior periods is not used in calculations for the following periods. (ISO20022). . Compounding: Calculation method by which interest is calculated each period on the original principal and all interest accumulated during past periods. (ISO20022)"	InterestCalculationMethodTypeValues
Class	InterestCalculationArrangementModality	InterestArrangementModality	" "	"A selection of interest product feature modalities for a specific interest arrangement in a specific agreemen"	" "
Class	CreditFacilityAgreement	" "	" "	"A (debt) Agreement specifying the terms and conditions for borrowing and lending a limited amount of money in the future."	" "
Class	CreditFacilityAgreement	Agreement	" "	"A formal or informal common understanding between two or more (legal competent) parties concerning one or more subject matters expressed in a set of arrangements, terms and conditions. (adapted from Legal System and FIBO) "	" "
Class	FeeArrangementFulfilmentEvent	" "	" "	"An even that triggers the fulfilment of a fee arrangement."	" "
Attribute	FeeArrangementFulfilmentEvent	" "	FeeAmount	"Amount of fee that is charged. . . Amount of money that results from the application of an adjustment (charges. fees, discount or allowance) to the amount due. (ISO20022)"	String
Attribute	FeeArrangementFulfilmentEvent	" "	FeeDueDate	"Date on which the fee needs to be paid."	String
Attribute	FeeArrangementFulfilmentEvent	" "	FeeEventDescription	"Information about the fee transaction, such as reason, period, applied formula... "	String
Class	FeeArrangementFulfilmentEvent	ArrangementFulfilmentEvent	" "	"The fulfilment of the engagements (obligations/rights) taken in an arrangement"	" "
Class	ProductService	" "	" "	"A service offered as a feature of a product."	" "
Attribute	ProductService	" "	ProductServiceType	""	String
Class	ProductService	ProductFeature	" "	"A detailed characteristic of a product expressed in offered services and the terms and conditions applicable to the delivery of the services."	" "
Class	ProductFeature	" "	" "	"A detailed characteristic of a product expressed in offered services and the terms and conditions applicable to the delivery of the services."	" "
Attribute	ProductFeature	" "	ProductFeatureType	"The type or category of product/service features"	ProductFeatureType
Attribute	ProductFeature	" "	ProductFeatureSpecification	""	String
Class	BankingProduct	" "	" "	"A package of services and goods, accompanied by term and condition which is offered as a whole to (internal or external) customers."	" "
Attribute	BankingProduct	" "	ProductIdentification	"The identifier of product e.g. ISIN Code."	ProductIdentification
Attribute	BankingProduct	" "	ProductType	"Specifies the category/type/class of product like financial product. Product can be categorized according to different perspectives.  "	BankingProductType
Attribute	BankingProduct	" "	ProductLifecycleStatus	"Refers to the lifecycle of a product (e.g., initiated, announced, active, obsolete, withdrawn)."	String
Attribute	BankingProduct	" "	ProductPriority	""	String
Attribute	BankingProduct	" "	ProductDescription	"A detailed explanation or commentary of product."	String
Attribute	BankingProduct	" "	ProductVersion	""	String
Class	BankingProduct	FinancialInstrument	" "	"A contract that gives rise to a financial asset of one entity and a financial liability or equity instrument of another entity. (IFRS). https://www.iasplus.com/en/standards/ias/ias32#:~:text=Key%20definitions%20%5BIAS%2032.11%5D,equity%20instrument%20of%20another%20entity. . Financial instruments are financial contracts of different nature made between institutional units. These comprise the full range of financial claims and liabilities between institutional units, including contingent liabilities like guarantees, commitments, etc. (ISO 10962). "	" "
Class	CollateralAgreement	" "	" "	"An Agreement between two trading parties whereby one or more Assets are provided by a debtor as security for a payment or repayment of one or more obligations. (BIAN). . Comment: The subject matter of the agreement is "securing payment". The most important arrangements are the collateral arrangements. But in the agreement are also price arrangements, period arrangements, fulfillment arrangements etc. agreed."	" "
Attribute	CollateralAgreement	" "	CollateralAgreementIdentifier	"An identifier that allows to uniquely refer to an instance of a Collateral Agreement.. "	String
Attribute	CollateralAgreement	" "	CollateralAgreementRegistrationReference	"External identifier assigned by a collateral registration authority to refer to the registration of the collateral agreement."	String
Class	CollateralAgreement	Agreement	" "	"A formal or informal common understanding between two or more (legal competent) parties concerning one or more subject matters expressed in a set of arrangements, terms and conditions. (adapted from Legal System and FIBO) "	" "
Class	RepaymentArrangementModality	" "	" "	"A selection of repayment feature modalities for a specific repayment arrangement in a specific agreement"	" "
Attribute	RepaymentArrangementModality	" "	RepaymentSchedule	"The schedule for repayments"	String
Class	CreditFacilityAccount	" "	" "	"An account for managing Credit Facility Arrangements. "	" "
Class	CreditFacilityAccount	Account	" "	"A measuring state on which movements in value or amounts of assets, rights and obligations are registered.. . Comment: . It is a bookkeeping instrument holding the amount or value of something by registering the movements in plus and min when events happen which have an impact on the position.. The term "account" is usually associated to an accounting or bookkeeping concept to hold the financial or stock state of a business concept. An account will typically group the debit and credit entries for a specific aspect of the business resulting from transactions,. Often accounts are represented as a T-account which is a visual aid used to depict an account. Above the top portion of the T would be the account title. On the left-side of the base of the T would be any debit amounts; on the right-side would be the credit amounts.. A commonly used bookkeeping method is the double-entry method. This means that every transaction has at least 2 movements. If a customer pays 100 € in cash, there is. a decrease in the amount that the customer owes to the company (the customer position is decreased). an increase in the amount that the company has in cash (the cash position is increased). . An account can be assigning to one or more ledgers. A ledger is a group of accounts for a certain purpose. If there is need for multiple ledgers because of multiple purpose, an account can perfectly well assigned to multiple ledgers. When Ledgers are in real physical books, this is not possible. When ledgers are digital, accounts can be grouped into multiple groups at the same time. This practice is very rarely taught into courses for accounting, but in digital accounting, it is common practice.. . Examples: . stock account of a shop, cash register, bank account, financial accounting account, customer account, supplier account, .... Bank Account BE12 1234 5678 9012: is an individual banking account. Accounts Payable, is a collective account keeping the balance of the amounts to pay by the organisation to its suppliers. The balance is the result of the financial movements related to suppliers. This account is managed usually in a General Ledger . Supplier Account X, is an individual account keeping the balance of the amounts to pay by the organisation to an individual supplier. The balance is the result of the financial movements related to an individual supplier. This account is managed usually in a sub-ledger.. Stock Account x, is an individual account keeping the balance of the amounts in stock of a specific good.. A payment service to take fund out of an account. "	" "
Class	Loan	" "	" "	"A type of credit vehicle in which a sum of money is lent to another party in exchange for future repayment of the value or principal amount.. https://www.investopedia.com/terms/l/loan.asp. . Loan vs Bond:. . Loan is a debt instrument where the lender is a financial institution and where the debt is not traded on the market. Bond is a debt that is traded on the bond market, the lender is not necessarily a financial institution , but one or more investors (a kind of crowd funding). "	" "
Class	Loan	DebtInstrument	" "	"A Debt Instrument is a means someone can utilize to borrow  and return something according to specified terms and conditions.. . Comment: This something can be money, property, securities, rights, etc.. The terms and conditions includes details such as collateral, interest rate, schedule for interest payments, schedule for capital repayments, timeframe to maturity etc.. . What is the difference between debt instruments and equity instruments?. . Debt instruments are assets that require a fixed payment to the holder, usually with interest. Examples of debt instruments include bonds (government or corporate) and mortgages.. Equity instruments allow a company to raise money without incurring debt. This can include selling stock. When equity instruments are used, the holders give money in exchange for a portion of the company.. Debt holders usually charge businesses interest, while equity holders rely on stock appreciation or dividends for a return."	" "
Class	RepaymentArrangement	" "	" "	"Arrangement of paying back money previously borrowed from a lender. "	" "
Attribute	RepaymentArrangement	" "	RepaymentType	""	String
Class	RepaymentArrangement	CardPaymentArrangement	" "	"An agreement established among the card holder and the card issuer to use the payment card for payment"	" "
Class	RepaymentArrangement	LoanArrangement	" "	"An arrangement defining the applicable features for a loan account agreement. . "	" "
Class	Account	" "	" "	"A measuring state on which movements in value or amounts of assets, rights and obligations are registered.. . Comment: . It is a bookkeeping instrument holding the amount or value of something by registering the movements in plus and min when events happen which have an impact on the position.. The term "account" is usually associated to an accounting or bookkeeping concept to hold the financial or stock state of a business concept. An account will typically group the debit and credit entries for a specific aspect of the business resulting from transactions,. Often accounts are represented as a T-account which is a visual aid used to depict an account. Above the top portion of the T would be the account title. On the left-side of the base of the T would be any debit amounts; on the right-side would be the credit amounts.. A commonly used bookkeeping method is the double-entry method. This means that every transaction has at least 2 movements. If a customer pays 100 € in cash, there is. a decrease in the amount that the customer owes to the company (the customer position is decreased). an increase in the amount that the company has in cash (the cash position is increased). . An account can be assigning to one or more ledgers. A ledger is a group of accounts for a certain purpose. If there is need for multiple ledgers because of multiple purpose, an account can perfectly well assigned to multiple ledgers. When Ledgers are in real physical books, this is not possible. When ledgers are digital, accounts can be grouped into multiple groups at the same time. This practice is very rarely taught into courses for accounting, but in digital accounting, it is common practice.. . Examples: . stock account of a shop, cash register, bank account, financial accounting account, customer account, supplier account, .... Bank Account BE12 1234 5678 9012: is an individual banking account. Accounts Payable, is a collective account keeping the balance of the amounts to pay by the organisation to its suppliers. The balance is the result of the financial movements related to suppliers. This account is managed usually in a General Ledger . Supplier Account X, is an individual account keeping the balance of the amounts to pay by the organisation to an individual supplier. The balance is the result of the financial movements related to an individual supplier. This account is managed usually in a sub-ledger.. Stock Account x, is an individual account keeping the balance of the amounts in stock of a specific good.. A payment service to take fund out of an account. "	" "
Attribute	Account	" "	AccountStatus	"A characteristic of account which refers to the LifecycleStatus of account like opened, closed, blocked, etc."	String
Attribute	Account	" "	AccountIdentification	"The identifier of account like Account Number."	AccountIdentification
Attribute	Account	" "	AccountDate	"A characteristic of account which refers to LifecycleDate of account (e.g., ClosingDate, OpeningDate, LiveDate, etc.) "	AccountDate
Attribute	Account	" "	AccountType	"Specifies the category of account like payment account, loan account, cash account, securities account, etc. "	AccountType
Attribute	Account	" "	AccountPurpose	""	Text
Attribute	Account	" "	AccountBalance	"The state of the obligations managed on the account, the result of all entries on the account.. . Numerical representation of the net increases and decreases in an account at a specific point in time. (ISO20022). . Banking: Amount available in an account for withdrawal or use.. Read more: http://www.businessdictionary.com/definition/balance.html. . Bookkeeping: Difference between the debit and credit sides of an account.. Read more: http://www.businessdictionary.com/definition/balance.html"	AccountBalance
Attribute	Account	" "	AccountCurrency	""	AccountCurrency
Attribute	Account	" "	AccountDescription	"A detailed explanation or commentary of account. . "	Text
Class	Account	Log	" "	"A record of events/entries.. "	" "
Class	InterestArrangementFulfilmentEvent	" "	" "	"A fulfillment of a specific interest arrangement "	" "
Attribute	InterestArrangementFulfilmentEvent	" "	InterestEventAmount	"The amount of interest that is subject of this transaction"	String
Attribute	InterestArrangementFulfilmentEvent	" "	AppliedInterestType	"The InterestType of the Interest arrangement this is a transaction for"	String
Attribute	InterestArrangementFulfilmentEvent	" "	AccuredInterestAmount	"Interest amount that has accrued in between coupon payment periods. (ISO20022)"	String
Attribute	InterestArrangementFulfilmentEvent	" "	AccuredInterestType	""	String
Attribute	InterestArrangementFulfilmentEvent	" "	InterestTaxAmount	""	String
Attribute	InterestArrangementFulfilmentEvent	" "	InterestEventDueDate	"The date on which the interest has to be payed"	String
Attribute	InterestArrangementFulfilmentEvent	" "	InterestEventDescription	"Description of the transaction, such as applied interest rate, Interest period ..."	String
Attribute	InterestArrangementFulfilmentEvent	" "	InterestEventRateType	""	String
Class	InterestArrangementFulfilmentEvent	ArrangementFulfilmentEvent	" "	"The fulfilment of the engagements (obligations/rights) taken in an arrangement"	" "
Class	RepaymentArrangementFulfilmentEvent	" "	" "	"The fulfilment of a repayment arrangement.. "	" "
Class	FeeArrangementModality	" "	" "	"A selection of Fee Product Feature modalities for a specific fee arrangement in a specific agreement"	" "
Attribute	FeeArrangementModality	" "	FeeCalculationMethod	"Formula (calculation rule) used to calculate a charge/fee."	String
Attribute	FeeArrangementModality	" "	FeePaymentMethod	"Specifies how charges are paid. (ISO20022)"	String
Attribute	FeeArrangementModality	" "	ChargingFrequency	"Frequency at which the fee is charged"	String
Attribute	FeeArrangementModality	" "	FeeModalityType	""	ModalityTypeValues
Class	InterestArrangement	" "	" "	"An arrangement into which both parties confirm on an interest product feature. "	" "
Attribute	InterestArrangement	" "	InterestType	"Type of an arranged Interest"	String
Attribute	InterestArrangement	" "	InterestRate	"An arranged InterestRate. . . "	Rate
Attribute	InterestArrangement	" "	InterestDefinition	""	String
Attribute	InterestArrangement	" "	InterestRateType	"Type of Rate which is arranged to apply interest"	InterestRateTypeValues
Attribute	InterestArrangement	" "	InterestPeriod	"Period during which the interest rate has to be applied. "	String
Attribute	InterestArrangement	" "	InterestRatePlan	"An arranged InterestRatePlan"	RatePlan
Attribute	InterestArrangement	" "	InterestSchedule	"An interest schedule is an arranged/planned set of dates at which interest will be claimed.. . - The set can be represented on a calendar, a formula, a table, etc."	String
Class	InterestArrangement	SavingsAccountArrangement	" "	"An arrangement defining the applicable features for a savings account agreement. . . The arrangement type is one of those possible/mandatory for the sale of a savings account product. The actual arrangements are a selection of those offered under the savings account product. "	" "
Class	InterestArrangement	TermDepositArrangement	" "	"An arrangement defining the applicable features for a Corporate Deposit Agreement. . . "	" "
Class	InterestArrangement	ProductSalesArrangement	" "	"Arrangement whitin the product sales agreement"	" "
Class	InterestArrangement	LoanArrangement	" "	"An arrangement defining the applicable features for a loan account agreement. . "	" "
Class	InterestArrangement	Arrangement	" "	"An agreed commitment to perform actions that meet obligations under an agreement"	" "
Class	InterestArrangement	CardPaymentArrangement	" "	"An agreement established among the card holder and the card issuer to use the payment card for payment"	" "
Class	InterestArrangement	TermDepositAccountArrangement	" "	""	" "
Class	CustomerAgreement	" "	" "	"An agreement between a bank and its customer. "	" "
Class	CustomerAgreement	Agreement	" "	"A formal or informal common understanding between two or more (legal competent) parties concerning one or more subject matters expressed in a set of arrangements, terms and conditions. (adapted from Legal System and FIBO) "	" "
Class	MoneyTransferInstruction	" "	" "	"Instruction to execute a payment from a payer to a payee"	" "
Attribute	MoneyTransferInstruction	" "	MoneyTransferInstructionType	"Classification of the Money Transfer Instruction according to the event that lead to the instruction. . e.g. withdrawal, interest disbursement, direct debit, card payment."	String
Attribute	MoneyTransferInstruction	" "	MoneyTransferInstructionAmount	"Amount of money to be transferred."	String
Attribute	MoneyTransferInstruction	" "	MoneyTransferInstructionAmountCurrency	"Currency in which the transfer amount is expressed."	String
Attribute	MoneyTransferInstruction	" "	MoneyTransferInstructionPurpose	"The reason why the instruction is given. . can be reference to a lot of information, concerning e.g. a purchase, an arrangement fulfillment event, a billing period..."	String
Attribute	MoneyTransferInstruction	" "	MoneyTransferInstructionRequestedMechanism	"The network to be used for the processing of the money transfer instruction as requested in the instruction.. e.g. instant SEPA?"	String
Attribute	MoneyTransferInstruction	" "	MoneyTransferInstructionStatus	"The processing status of the instruction"	InstructionStatus
Attribute	MoneyTransferInstruction	" "	MoneyTransferInstructionChannelReference	"Reference to the contact channel that was used to give the money transfer instruction"	String
Class	MoneyTransferInstruction	Instruction	" "	"A request to do something. "	" "
Class	MoneyTransferInstruction	FinancialInstruction	" "	"An instruction to do something expressed in an amount of money."	" "
Class	LimitArrangement	" "	" "	"An arrangement to limit something. e.g., the number of transaction per week, the amount of money allowed to withdraw per week/day and etc. "	" "
Attribute	LimitArrangement	" "	LimitType	"Nature of the limit."	LimitType
Attribute	LimitArrangement	" "	LimitCurrency	"Currency unit used to specify the limit amount. (ISO20022)"	CurrencyCode
Attribute	LimitArrangement	" "	LimitValidityPeriod	"Period at which the limit is effective. (ISO20022)"	DateTimePeriod
Attribute	LimitArrangement	" "	LimitAmount	"Amount of money of the limit, expressed in a currency. (ISO20022)"	Amount
Attribute	LimitArrangement	" "	LimitStatus	"Current status of the limit."	LimitStatus
Attribute	LimitArrangement	" "	LimitRate	"Specifies that the limit is a percentage of a related amount. (ISO20022)"	Rate
Attribute	LimitArrangement	" "	LimitFrequency	"Specifies the periodicity linked to a limit for example the periodicity can indicate that the limit can be reached daily or monthly. (ISO20022)"	Frequency
Class	LimitArrangement	SavingsAccountArrangement	" "	"An arrangement defining the applicable features for a savings account agreement. . . The arrangement type is one of those possible/mandatory for the sale of a savings account product. The actual arrangements are a selection of those offered under the savings account product. "	" "
Class	LimitArrangement	ProductSalesArrangement	" "	"An arrangement within the product sales agreement"	" "
Class	LimitArrangement	InvestmentAccountArrangement	" "	""	" "
Class	LimitArrangement	TermDepositArrangement	" "	"An arrangement defining the applicable features for a Corporate Deposit Agreement. . . "	" "
Class	LimitArrangement	Arrangement	" "	"An agreed commitment to perform actions that meet obligations under an agreement"	" "
Class	LimitArrangement	LoanArrangement	" "	"An arrangement defining the applicable features for a loan account agreement. . "	" "
