"Business Objects for: "	Transaction Engine
"UML Type"	"Business Object"	"Supertype"	"Attribute"	"Description"	"Data Type"
Class	TransactionScheduleService	Service	""	"An exposed function (an externalized functionality) that is able to deliver a certain value/benefit (a proposed definition adapted from Archimate).. . A unit of functionality that a system exposes to its environment, while hiding internal operations, which provides a certain value (monetary or otherwise). . . . Comment:. . A Service is something that is done by an actor for the benefit of an actor in the environment.. . A system is the broad sense of the word. Means Business Service, Application Service, Technology Service, "huppeldepup" Service.  . . . Characteristics of a service:. . A system (The Service Domain). Functionality is exposed (Action Term). It provides a certain value (monetary or otherwise) . . . Exposing functionality means that the internals of realizing the service is hidden for the beneficiary of the Service..  . . . In BIAN a "Service Operation" is visualized as a "Business Service" , the "System" refers to the  "Service Domain"  . . The name of a Service Operation is composed of an "Action Term" + "Subject Matter" which is the "Control Record" or the "Behaviour Qualifier".. . . Service is the intangible equivalent of a good. (ISO20022). . . A type of economic activity that is intangible, is not stored and does not result in ownership; a service is consumed at the point of sale (FIBO & Business Dictionary)"	""
Class	Transaction	""	""	"A planned or performed action in the context of concluding or fulfilling an agreement. . . Act to do something."	""
Attribute	Transaction	""	TransactionIdentification	"An identifier that allows to uniquely refer to an instance of a transaction."	Identifier
Attribute	Transaction	""	TransactionDate	"The Date that the transaction has occurred or is planned to occur.. A characteristic of transaction which refers to the LifecycleDate of transaction (e.g., initiated date, executed date, fulfillment date). "	TransactionDate
Attribute	Transaction	""	TransactionType	"Specifies the category of Transaction like payment transaction, accounting transaction, financial Transaction, banking transaction, etc. "	TransactionType
Attribute	Transaction	""	TransactionDescription	"A detailed explanation or commentary of transaction."	Text
Attribute	Transaction	""	TransactionStatus	"A characteristic of transaction which refers to the LifecycleStatus of transaction (e.g., initiated, executed, confirmed, cancelled, etc.) "	TransactionLifecycleStatus
Attribute	Transaction	""	TransactionName	"The name of transaction."	Name
Class	Transaction	Action	""	"An event related to the behaviour performed by an actor. . . Comment:. An actor can be a party or a machine. An action Includes various types of requests, orders and financial transactions. Includes responses where appropriate.. An action is an event which means that the concept describes the result of acting."	""
Class	TransactionScheduleArrangement	""	""	"An arrangement (ServiceArrangement) which is promised to deliver the TransactionScheduleService"	""
Attribute	TransactionScheduleArrangement	""	ApplicableServiceFeeType	""	String
Attribute	TransactionScheduleArrangement	""	ApplicableServiceFeeAmount	""	String
Attribute	TransactionScheduleArrangement	""	ServiceArrangementDateTime	""	String
Class	TransactionScheduleArrangement	ServiceArrangement	""	"An arrangement into which is promised to deliver a specific service.. . Comment: Most service arrangements are instantiations of Product Services"	""
Class	BankingProduct	""	""	"A package of services and goods, accompanied by term and condition which is offered as a whole to (internal or external) customers."	""
Attribute	BankingProduct	""	ProductIdentification	"The identifier of product e.g. ISIN Code."	ProductIdentification
Attribute	BankingProduct	""	ProductType	"Specifies the category/type/class of product like financial product. Product can be categorized according to different perspectives.  "	BankingProductType
Attribute	BankingProduct	""	ProductLifecycleStatus	"Refers to the lifecycle of a product (e.g., initiated, announced, active, obsolete, withdrawn)."	ProductLifecycleStatus
Attribute	BankingProduct	""	ProductPriority	""	String
Attribute	BankingProduct	""	ProductDescription	"A detailed explanation or commentary of product."	String
Attribute	BankingProduct	""	ProductVersion	""	String
Class	BankingProduct	FinancialInstrument	""	"A contract that gives rise to a financial asset of one entity and a financial liability or equity instrument of another entity. (IFRS). https://www.iasplus.com/en/standards/ias/ias32#:~:text=Key%20definitions%20%5BIAS%2032.11%5D,equity%20instrument%20of%20another%20entity. . Financial instruments are financial contracts of different nature made between institutional units. These comprise the full range of financial claims and liabilities between institutional units, including contingent liabilities like guarantees, commitments, etc. (ISO 10962). "	""
Class	TransactionScheduleArrangementFulfillmentEvent	""	""	"The fulfilment of TransactionScheduleArrangement"	""
Attribute	TransactionScheduleArrangementFulfillmentEvent	""	AppliedServiceFeeType	"The fee type applied"	String
Attribute	TransactionScheduleArrangementFulfillmentEvent	""	AppliedServiceFeeAmount	"The derived fee amount to be charged"	String
Attribute	TransactionScheduleArrangementFulfillmentEvent	""	AppliedServiceFeeDescription	"General description of the fee"	String
Class	Arrangement	""	""	"An agreed commitment to perform actions that meet obligations under an agreement"	""
Attribute	Arrangement	""	ActionType	""	ActionType
Attribute	Arrangement	""	ArrangementStartDate	""	DateTime
Attribute	Arrangement	""	ArrangementEndDate	""	DateTime
Attribute	Arrangement	""	ArrangementStatus	"A characteristic of arrangement which refers to the LifecycleStatus of arrangement (e.g., requested, proposed, offered, accepted, cancelled, terminated, fulfilled, etc.)"	ArrangementLifecycleStatus
Class	Service	""	""	"An exposed function (an externalized functionality) that is able to deliver a certain value/benefit (a proposed definition adapted from Archimate).. . A unit of functionality that a system exposes to its environment, while hiding internal operations, which provides a certain value (monetary or otherwise). . . . Comment:. . A Service is something that is done by an actor for the benefit of an actor in the environment.. . A system is the broad sense of the word. Means Business Service, Application Service, Technology Service, "huppeldepup" Service.  . . . Characteristics of a service:. . A system (The Service Domain). Functionality is exposed (Action Term). It provides a certain value (monetary or otherwise) . . . Exposing functionality means that the internals of realizing the service is hidden for the beneficiary of the Service..  . . . In BIAN a "Service Operation" is visualized as a "Business Service" , the "System" refers to the  "Service Domain"  . . The name of a Service Operation is composed of an "Action Term" + "Subject Matter" which is the "Control Record" or the "Behaviour Qualifier".. . . Service is the intangible equivalent of a good. (ISO20022). . . A type of economic activity that is intangible, is not stored and does not result in ownership; a service is consumed at the point of sale (FIBO & Business Dictionary)"	""
Attribute	Service	""	ServiceName	""	Name
Attribute	Service	""	ServiceDescription	""	Text
Attribute	Service	""	ServiceType	""	ServiceType
Class	Service	Feature	""	"a distinctive attribute or aspect of something."	""
